,leiden
ML435812a,1
ML43581a,3
ML435826a,10
ML43588a,3
ML43662a,6
ML444213a,1
ML44906a,3
ML44907a,0
ML45008a,5
ML458311a,4
ML458319a,5
ML458329a,0
ML45833a,4
ML45841a,2
ML460814a,2
ML460816a,4
ML460825a,7
ML463514a,2
ML463515a,1
ML463524a,0
ML463526a,0
ML463528a,8
ML463530a,6
ML46357a,5
ML46359a,4
ML46651a,9
ML47372a,0
ML47553a,8
ML47556a,2
ML49659a,4
ML50011a,9
bin_10014,8
bin_10015,8
bin_10017,1
bin_10278,1
bin_10716,1
bin_11201,3
bin_11242,1
bin_11360,2
bin_11927,2
bin_11928,6
bin_1426,1
bin_14316,0
bin_14776,5
bin_15774,5
bin_16072,2
bin_16118,8
bin_16158,7
bin_16617,6
bin_17367,3
bin_17368,3
bin_17408,1
bin_17846,7
bin_18227,8
bin_18473,0
bin_18918,0
bin_19066,8
bin_19282,1
bin_20419,8
bin_20811,7
bin_21246,7
bin_21656,1
bin_22340,0
bin_22571,0
bin_22974,1
bin_23755,1
bin_25392,1
bin_25925,1
bin_25996,1
bin_26120,3
bin_26642,9
bin_26643,9
bin_26644,9
bin_26645,9
bin_27307,0
bin_27317,5
bin_27487,0
bin_29748,2
bin_30963,3
bin_30969,8
bin_31036,6
bin_31050,7
bin_3170,5
bin_32741,2
bin_335,9
bin_33638,6
bin_34274,8
bin_34801,4
bin_35219,5
bin_35426,2
bin_36093,1
bin_36799,8
bin_3697,1
bin_37344,1
bin_37465,1
bin_37738,0
bin_38324,1
bin_38417,4
bin_38585,0
bin_39458,0
bin_40636,7
bin_40641,0
bin_40642,0
bin_40801,2
bin_41437,0
bin_41596,5
bin_41601,7
bin_41783,5
bin_42008,10
bin_42389,8
bin_42681,6
bin_43039,3
bin_43145,1
bin_43211,8
bin_43833,1
bin_44145,10
bin_44192,0
bin_44193,0
bin_44505,3
bin_45186,9
bin_4519,6
bin_45770,3
bin_46051,2
bin_46344,8
bin_46579,2
bin_46580,2
bin_47681,2
bin_48177,5
bin_48327,2
bin_50209,1
bin_51257,0
bin_51272,6
bin_51827,5
bin_52567,1
bin_52568,1
bin_53546,1
bin_54248,7
bin_55032,2
bin_55530,0
bin_55654,2
bin_56870,9
bin_56871,2
bin_57263,3
bin_57970,3
bin_58397,3
bin_59487,10
bin_59740,6
bin_60176,7
bin_60440,4
bin_6127,7
bin_6289,2
bin_6963,6
bin_8204,0
bin_8215,0
bin_8246,2
